okres,data,rok,miesiac,wegiel_koks_tys_ton,masowe_suche_tys_ton,ogolem_tys_ton,masowe_ciekle_tys_ton,ropa_naftowa_tys_ton,kontenery_tys_ton,ladunki_toczne_tys_ton,pozostala_drobnica_tys_ton,okres_badania
2010 M01,2010-01-01,2010,1,894.1,1784.9,4088.2,1031.8,899.9,483.2,522.6,265.7,2010-2021 (okres stabilny)
2010 M02,2010-02-01,2010,2,1090.8,1831.4,4673.5,1591.7,1522.2,529.5,423.3,297.6,2010-2021 (okres stabilny)
2010 M03,2010-03-01,2010,3,1230.4,2101.3,4594.9,1130.8,990.5,616.0,469.1,277.8,2010-2021 (okres stabilny)
2010 M04,2010-04-01,2010,4,1199.0,2179.6,5015.5,1391.3,1216.1,605.3,462.8,376.4,2010-2021 (okres stabilny)
2010 M05,2010-05-01,2010,5,812.2,1821.5,4474.0,1236.8,1108.4,625.2,467.4,323.2,2010-2021 (okres stabilny)
2010 M06,2010-06-01,2010,6,1113.9,2184.6,5596.5,1866.6,1757.3,704.4,524.9,316.0,2010-2021 (okres stabilny)
2010 M07,2010-07-01,2010,7,1054.2,2196.9,5140.6,1524.8,1431.1,679.6,448.4,290.9,2010-2021 (okres stabilny)
2010 M08,2010-08-01,2010,8,748.8,1790.5,5164.4,1961.5,1797.2,688.8,470.0,253.7,2010-2021 (okres stabilny)
2010 M09,2010-09-01,2010,9,1083.6,2172.2,5301.8,1644.5,1527.2,705.9,537.0,242.2,2010-2021 (okres stabilny)
2010 M10,2010-10-01,2010,10,1032.8,2384.5,5478.7,1542.4,1398.6,732.7,572.4,246.7,2010-2021 (okres stabilny)
2010 M11,2010-11-01,2010,11,683.5,1854.0,5074.4,1697.8,1573.3,775.1,504.3,243.1,2010-2021 (okres stabilny)
2010 M12,2010-12-01,2010,12,890.7,1953.8,4904.1,1559.8,1422.8,682.3,450.3,257.9,2010-2021 (okres stabilny)
2011 M01,2011-01-01,2011,1,833.2,1935.4,5224.9,1746.8,1566.8,834.4,472.4,235.9,2010-2021 (okres stabilny)
2011 M02,2011-02-01,2011,2,651.2,1541.7,4781.7,1769.2,1646.7,705.9,500.4,264.6,2010-2021 (okres stabilny)
2011 M03,2011-03-01,2011,3,649.5,1943.5,5105.4,1579.9,1444.3,749.3,572.8,260.0,2010-2021 (okres stabilny)
2011 M04,2011-04-01,2011,4,500.0,1667.1,4995.3,1778.9,1616.9,759.5,498.1,291.7,2010-2021 (okres stabilny)
2011 M05,2011-05-01,2011,5,793.4,2094.8,4841.8,1050.7,913.1,787.7,582.8,325.8,2010-2021 (okres stabilny)
2011 M06,2011-06-01,2011,6,653.9,1858.7,4630.1,1136.8,992.7,825.4,519.9,289.3,2010-2021 (okres stabilny)
2011 M07,2011-07-01,2011,7,557.0,1931.1,4076.8,663.0,503.3,744.5,465.9,272.3,2010-2021 (okres stabilny)
2011 M08,2011-08-01,2011,8,841.7,2185.1,4682.3,938.5,793.4,810.3,484.7,263.7,2010-2021 (okres stabilny)
2011 M09,2011-09-01,2011,9,575.5,2131.7,4654.4,896.2,700.4,787.5,538.8,300.2,2010-2021 (okres stabilny)
2011 M10,2011-10-01,2011,10,711.8,2257.5,5471.9,1462.3,1277.5,860.0,576.7,315.4,2010-2021 (okres stabilny)
2011 M11,2011-11-01,2011,11,505.0,2167.9,4658.4,975.8,794.4,709.2,545.0,260.5,2010-2021 (okres stabilny)
2011 M12,2011-12-01,2011,12,730.5,2415.8,4615.1,635.4,486.4,846.9,443.5,273.5,2010-2021 (okres stabilny)
2012 M01,2012-01-01,2012,1,673.7,1848.2,4058.5,696.9,562.8,778.7,485.8,249.0,2010-2021 (okres stabilny)
2012 M02,2012-02-01,2012,2,449.6,1701.5,3937.0,630.4,506.8,852.7,509.1,243.3,2010-2021 (okres stabilny)
2012 M03,2012-03-01,2012,3,599.6,2025.6,4663.0,939.6,797.0,852.9,557.5,287.5,2010-2021 (okres stabilny)
2012 M04,2012-04-01,2012,4,725.9,1840.0,4393.1,937.2,796.8,828.5,506.6,280.8,2010-2021 (okres stabilny)
2012 M05,2012-05-01,2012,5,489.8,1869.0,4377.3,726.8,534.9,929.7,556.3,295.4,2010-2021 (okres stabilny)
2012 M06,2012-06-01,2012,6,567.3,1826.9,4342.3,642.3,507.5,936.2,541.9,395.0,2010-2021 (okres stabilny)
2012 M07,2012-07-01,2012,7,676.1,2239.8,5253.5,1210.3,1092.9,962.0,463.6,377.8,2010-2021 (okres stabilny)
2012 M08,2012-08-01,2012,8,906.0,2231.5,5205.2,1261.8,1153.5,864.4,518.9,328.7,2010-2021 (okres stabilny)
2012 M09,2012-09-01,2012,9,834.0,2278.6,5843.3,1750.8,1634.2,941.5,562.2,310.2,2010-2021 (okres stabilny)
2012 M10,2012-10-01,2012,10,818.7,2031.2,5585.6,1701.8,1525.0,953.1,573.8,325.7,2010-2021 (okres stabilny)
2012 M11,2012-11-01,2012,11,876.1,2397.5,6222.4,2058.2,1908.0,913.1,546.9,306.8,2010-2021 (okres stabilny)
2012 M12,2012-12-01,2012,12,859.5,1863.7,4944.1,1452.6,1303.0,968.6,411.1,248.1,2010-2021 (okres stabilny)
2013 M01,2013-01-01,2013,1,910.3,1831.3,5325.3,1597.0,1477.2,1127.3,512.4,257.4,2010-2021 (okres stabilny)
2013 M02,2013-02-01,2013,2,1077.3,2017.8,5065.8,1288.3,1149.8,1019.8,483.5,256.3,2010-2021 (okres stabilny)
2013 M03,2013-03-01,2013,3,798.1,1880.2,4902.6,1046.9,891.1,1123.1,509.6,342.9,2010-2021 (okres stabilny)
2013 M04,2013-04-01,2013,4,995.9,1954.4,4395.5,484.7,321.0,1141.1,549.4,265.9,2010-2021 (okres stabilny)
2013 M05,2013-05-01,2013,5,1301.2,2391.6,5061.8,748.6,610.8,1125.3,536.5,259.7,2010-2021 (okres stabilny)
2013 M06,2013-06-01,2013,6,1182.4,2394.1,5424.9,1043.8,858.8,1149.2,556.6,281.1,2010-2021 (okres stabilny)
2013 M07,2013-07-01,2013,7,883.7,1962.0,4950.0,1193.9,1079.6,1017.7,480.6,295.8,2010-2021 (okres stabilny)
2013 M08,2013-08-01,2013,8,1012.1,2746.4,5951.2,1278.7,1172.8,1101.7,520.0,304.4,2010-2021 (okres stabilny)
2013 M09,2013-09-01,2013,9,1262.1,2781.5,6459.6,1695.1,1551.9,1093.8,578.1,311.1,2010-2021 (okres stabilny)
2013 M10,2013-10-01,2013,10,961.6,2487.6,5954.6,1456.1,1312.2,1114.1,617.4,279.4,2010-2021 (okres stabilny)
2013 M11,2013-11-01,2013,11,820.9,2347.1,5564.9,1301.0,1136.3,964.2,583.6,368.8,2010-2021 (okres stabilny)
2013 M12,2013-12-01,2013,12,700.2,2039.5,5226.2,1374.1,1177.7,1083.0,445.2,284.4,2010-2021 (okres stabilny)
2014 M01,2014-01-01,2014,1,754.8,2083.5,5394.7,1290.9,1191.6,1206.3,527.6,286.4,2010-2021 (okres stabilny)
2014 M02,2014-02-01,2014,2,809.0,2027.1,5221.4,1138.8,1013.8,1235.5,544.2,275.8,2010-2021 (okres stabilny)
2014 M03,2014-03-01,2014,3,1156.9,2459.9,6038.5,1428.5,1281.4,1227.5,650.4,272.2,2010-2021 (okres stabilny)
2014 M04,2014-04-01,2014,4,1006.6,2085.8,5972.8,1698.7,1512.4,1245.4,598.4,344.5,2010-2021 (okres stabilny)
2014 M05,2014-05-01,2014,5,1045.1,2415.2,5343.3,780.7,681.4,1209.9,631.0,306.5,2010-2021 (okres stabilny)
2014 M06,2014-06-01,2014,6,765.3,2060.3,5141.6,925.5,767.4,1197.1,615.7,342.9,2010-2021 (okres stabilny)
2014 M07,2014-07-01,2014,7,683.5,2187.5,5196.4,952.1,759.8,1257.0,525.9,273.8,2010-2021 (okres stabilny)
2014 M08,2014-08-01,2014,8,692.9,2214.6,5582.9,1397.2,1234.3,1158.0,565.2,248.0,2010-2021 (okres stabilny)
2014 M09,2014-09-01,2014,9,1024.0,2634.6,6212.3,1459.5,1281.7,1148.8,632.4,336.9,2010-2021 (okres stabilny)
2014 M10,2014-10-01,2014,10,731.4,2058.8,6823.2,1718.5,1577.5,2132.3,682.9,230.8,2010-2021 (okres stabilny)
2014 M11,2014-11-01,2014,11,452.7,2082.2,5844.2,1516.0,1302.3,1270.9,648.7,326.4,2010-2021 (okres stabilny)
2014 M12,2014-12-01,2014,12,709.6,2334.5,5972.9,1727.2,1506.9,1159.4,486.6,265.2,2010-2021 (okres stabilny)
2015 M01,2015-01-01,2015,1,430.6,1800.0,5355.0,1430.5,1264.7,1271.3,564.0,289.2,2010-2021 (okres stabilny)
2015 M02,2015-02-01,2015,2,891.4,2375.9,5653.7,1315.2,1166.4,1152.5,579.4,230.7,2010-2021 (okres stabilny)
2015 M03,2015-03-01,2015,3,542.7,2398.5,6267.1,1659.8,1442.5,1250.8,690.5,267.6,2010-2021 (okres stabilny)
2015 M04,2015-04-01,2015,4,773.8,2580.0,5662.1,1073.4,920.6,1063.8,621.9,322.9,2010-2021 (okres stabilny)
2015 M05,2015-05-01,2015,5,883.2,2329.7,6131.1,1646.9,1427.4,1124.0,685.8,344.7,2010-2021 (okres stabilny)
2015 M06,2015-06-01,2015,6,441.9,1719.2,5898.1,2004.1,1821.6,1187.0,687.8,300.1,2010-2021 (okres stabilny)
2015 M07,2015-07-01,2015,7,780.1,2092.8,5702.4,1544.7,1300.3,1207.5,556.9,300.5,2010-2021 (okres stabilny)
2015 M08,2015-08-01,2015,8,1033.7,2349.2,6201.0,1886.8,1744.2,1032.6,620.0,312.3,2010-2021 (okres stabilny)
2015 M09,2015-09-01,2015,9,947.9,2492.5,6175.2,1668.5,1507.2,984.8,714.4,315.0,2010-2021 (okres stabilny)
2015 M10,2015-10-01,2015,10,280.2,1714.3,5333.4,1468.1,1340.6,1074.0,749.0,328.0,2010-2021 (okres stabilny)
2015 M11,2015-11-01,2015,11,559.5,1689.7,5250.1,1459.4,1285.2,1080.7,704.8,315.4,2010-2021 (okres stabilny)
2015 M12,2015-12-01,2015,12,573.9,2202.5,5900.4,1698.9,1473.2,1147.5,584.9,266.6,2010-2021 (okres stabilny)
2016 M01,2016-01-01,2016,1,749.5,2205.4,5695.0,1461.2,1327.8,1111.2,632.9,284.4,2010-2021 (okres stabilny)
